"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
32,641627,"Gott, Trevor",761,4.2,0,0,,0,0,0,,0,15,,,2220,95.4,94.8,32,32,0,-0.6000000000000085,6.1,106,154,122,148,295,317,294
32,656756,"Montgomery, Jordan",2715,1.2,0,0,,0,0,0,,0,14,,,2307,93,93.63,32,32,0,0.5999999999999943,6.6,112,155,123,148,302,322,293
32,543339,"Hudson, Daniel",406,7.9,0,0,,0,0,0,,0,10,,,2426,97.1,96.86,32,32,0,-0.19999999999998863,6.34,111,152,110,148,294,319,297
32,663436,"Martin, Davis",1044,3.1,0,0,,0,0,0,,0,12,,,2374,94.6,95.08,32,32,0,0.5,6.5,112,152,112,148,301,325,300
32,596112,"Stephenson, Robert",914,3.5,0,0,,0,0,0,,0,4,,,2404,97.3,97.26,32,32,0,0,6.22,111,150,112,149,298,327,304
32,475479,"Phelps, David",1151,2.8,0,0,,0,0,0,,0,12,,,2374,93.2,91.22,32,32,0,-2,5.33,113,151,119,149,301,319,290
31,641302,"Alexander, Tyler",1591,1.9,0,0,,0,0,0,,0,12,,,2266,90,89.94,31,31,0,-0.09999999999999432,6.22,104,151,115,143,299,327,292
31,608678,"Leone, Dominic",826,3.8,0,0,,0,0,0,,0,11,,,2348,95.7,96.15,31,31,0,0.3999999999999915,6.46,107,151,118,147,300,322,292
31,608648,"Duffey, Tyler",741,4.2,0,0,,0,0,0,,0,16,,,2262,92,92.25,31,31,0,0.20000000000000284,6.39,109,155,118,147,302,328,290
31,477132,"Kershaw, Clayton",1842,1.7,0,0,,0,0,0,,0,7,,,2417,91.1,91.23,31,31,0,0.10000000000000853,6.44,115,158,116,149,294,312,295
31,664199,"Clarke, Taylor",859,3.6,0,0,,0,0,0,,0,11,,,2290,95.5,95.05,31,31,0,-0.4000000000000057,6.11,115,159,118,149,303,324,299
31,650633,"King, Michael",776,4,0,0,,0,0,0,,0,16,,,2448,96.3,96.04,31,31,0,-0.29999999999999716,6.25,116,159,122,151,293,329,293
31,607625,"Lugo, Seth",1079,2.9,0,0,,0,0,0,,0,14,,,2296,94.8,94.2,31,31,0,-0.5999999999999943,6.01,111,155,121,150,299,329,301
30,666721,"Castillo, Max",697,4.3,0,0,,0,0,0,,0,10,,,2175,93.1,93.67,30,30,0,0.6000000000000085,6.72,111,160,123,149,284,323,296
30,677053,"Nardi, Andrew",374,8,0,0,,0,0,0,,0,9,,,2308,94.6,95.22,30,30,0,0.6000000000000085,6.78,108,147,116,145,302,314,290
